그룹,question_id,질문유형,영역,카테고리,세부항목,4Pillars,질문,답변형식,단위,프레임워크참조,금지규칙,근거부족시_insufficient,메모,상태
정량,QT-001,quantitative,사회,구성원 현황,총 구성원 수,,보고 연도 기준 총 구성원 수는 얼마인가요?,number,명,GRI:2-7-a,총 수치가 없으면 일반 서술만으로 추정하면 안 됨,true,인력 규모를 대표하는 기본 질문,shortlist_draft
정량,QT-002,quantitative,사회,구성원 현황,여성 구성원 비율,,여성 구성원 비율은 몇 퍼센트인가요?,percentage,%,GRI:405-1-b-i; K-ESG:S-3-1,총 구성원 수 근거가 없으면 비율을 임의 계산하면 안 됨,true,다양성 대표 질문,shortlist_draft
정량,QT-005,quantitative,사회,구성원 현황,총 신규 채용 인원 수,,총 신규 채용 인원 수는 얼마인가요?,number,명,,복수 연도 수치를 합쳐 답하면 안 됨,true,채용 유입 지표,shortlist_draft
정량,QT-006,quantitative,사회,구성원 현황,총 자발적 이직률,,총 자발적 이직률은 몇 퍼센트인가요?,percentage,%,,총 이직률 근거가 없는데 일부 수치로 대체하면 안 됨,true,이직 유출 지표,shortlist_draft
정량,QT-009,quantitative,사회,산업 재해,LTIFR,,근로손실재해율(LTIFR)은 얼마인가요?,number,LTIFR,,일반 재해율을 LTIFR로 바꿔 답하면 안 됨,true,안전 성과 핵심 지표,shortlist_draft
정량,QT-010,quantitative,환경,온실가스 및 에너지,총 온실가스 배출량,,총 온실가스 배출량은 얼마인가요?,number,tCO2-eq,,보고서에 총량이 있으면 Scope 1과 2를 임의 합산해 대체하면 안 됨,true,기후 핵심 지표,shortlist_draft
정량,QT-011,quantitative,환경,온실가스 및 에너지,재생에너지 사용 비율,,재생 에너지 사용 비율은 몇 퍼센트인가요?,percentage,%,,에너지 총량 근거 없이 일부 수치만으로 비율 계산하면 안 됨,true,전환 관련 지표,shortlist_draft
정량,QT-013,quantitative,환경,환경 컴플라이언스,법규 및 규정 위반 건수,,환경 관련 법규 및 규정 위반 건수는 몇 건인가요?,number,건,,벌금 총액과 위반 건수를 하나의 값처럼 섞어 답하면 안 됨,true,환경 준법 지표,shortlist_draft
정량,QT-014,quantitative,거버넌스,윤리 모니터링,윤리 위반 제보 건수,,윤리 위반 제보 건수는 몇 건인가요?,number,건,,처리 건수를 제보 건수 대신 답하면 안 됨,true,윤리 사건 지표,shortlist_draft
정량,QT-015,quantitative,거버넌스,윤리 모니터링,윤리교육 이수율,,윤리교육 이수율은 몇 퍼센트인가요?,percentage,%,,대상자 수 근거 없이 100%라고 단정하면 안 됨,true,사전 예방형 거버넌스 지표,shortlist_draft
정성,QL-001,qualitative,일반,ESG 경영,ESG 비전 및 중장기 전략,전략 (Strategy),회사의 ESG 비전 및 중장기 전략은 무엇인가요?,long_text,,,모호한 슬로건만 반복하거나 장문의 원문을 그대로 복사하면 안 됨,true,전사 전략 서술 대표 질문,shortlist_draft
정성,QL-003,qualitative,일반,ESG 경영,ESG 리스크 식별 및 관리 체계,위험 관리 (Risk Management),회사는 ESG 리스크를 어떻게 식별하고 관리하나요?,long_text,,,구체적 절차가 있는데 일반 키워드만으로 뭉뚱그려 답하면 안 됨,true,전사 리스크 프레이밍 대표 질문,shortlist_draft
정성,QL-004,qualitative,사회,안전 보건,안전보건 정책 및 목표,전략 (Strategy),안전보건 정책 및 목표는 무엇인가요?,long_text,,,법규 준수만 언급하고 내부 목표나 운영 방향을 누락하면 안 됨,true,안전 전략 대표 질문,shortlist_draft
정성,QL-006,qualitative,사회,안전 보건,산업안전 리스크 식별 및 예방 활동,위험 관리 (Risk Management),산업안전 리스크를 어떻게 식별하고 예방하나요?,long_text,,,리스크 관리 질문인데 정책 문구만 답하면 안 됨,true,안전 리스크 관리 대표 질문,shortlist_draft
정성,QL-008,qualitative,사회,노동 및 인권,노동 및 인권 관리 체계,거버넌스 (Governance),노동 및 인권 관리 체계는 어떻게 운영되나요?,long_text,,,고충 처리나 보호 체계를 보고서가 언급하는데 이를 빼면 안 됨,true,노동·인권 거버넌스 대표 질문,shortlist_draft
정성,QL-009,qualitative,사회,정보보호,정보보안 및 개인정보 보호 정책,전략 (Strategy),정보보안 및 개인정보 보호 정책은 무엇인가요?,long_text,,,정책 질문에 사고 통계만 답하면 안 됨,true,정보보호 정책 대표 질문,shortlist_draft
정성,QL-011,qualitative,환경,환경경영,환경경영 정책 및 목표,전략 (Strategy),환경경영 정책 및 목표는 무엇인가요?,long_text,,,단일 KPI만 제시하고 정책·목표 서술을 빠뜨리면 안 됨,true,환경 전략 대표 질문,shortlist_draft
정성,QL-012,qualitative,환경,환경경영,환경 영향 및 환경 리스크 관리,위험 관리 (Risk Management),환경 영향과 환경 리스크를 어떻게 평가하고 관리하나요?,long_text,,,리스크 목록만 나열하고 관리 방식 설명을 빼면 안 됨,true,환경 리스크 관리 대표 질문,shortlist_draft
정성,QL-013,qualitative,거버넌스,윤리경영,윤리경영 조직 및 운영 체계,거버넌스 (Governance),윤리경영 조직 및 운영 체계는 어떻게 구성되어 있나요?,long_text,,,담당 부서 이름만 말하고 운영 체계를 설명하지 않으면 안 됨,true,윤리 거버넌스 대표 질문,shortlist_draft
정성,QL-014,qualitative,거버넌스,윤리경영,윤리 및 준법 리스크 관리,위험 관리 (Risk Management),윤리 및 준법 리스크를 어떻게 예방하고 관리하나요?,long_text,,,리스크 관리 질문을 사건 통계로만 대체하면 안 됨,true,준법 리스크 관리 대표 질문,shortlist_draft
